fecha;codipart;detalle;importe;naci;importe_hoy
2003-01-01;1;Ingresos Corrientes;6001.5;0.206031;2241196.03
2003-01-01;2;INGRESOS TRIBUTARIOS;4549.5;0.206031;1698962.15
2003-01-01;3;APORTES Y CONTRIB. A LA SEG. SOCIAL;1154.4;0.206031;431098.34
2003-01-01;4;INGRESOS NO TRIBUTARIOS;236.8;0.206031;88430.43
2003-01-01;5;VENTAS DE BS. Y SERV. DE LAS ADM. PUB.;12.1;0.206031;4518.62
2003-01-01;6;INGRESOS DE OPERACION;0.0;0.206031;0.0
2003-01-01;7;RENTAS DE LA PROPIEDAD;10.5;0.206031;3921.11
2003-01-01;8;RENTAS PERCIBIDAS DEL BCRA;0.0;0.206031;0.0
2003-01-01;9;RENTAS PÚBLICAS PERCIBIDAS POR EL FGS;0.0;0.206031;0.0
2003-01-01;10;RENTAS PÚBLICAS PERCIBIDAS POR EL FGS Y OTROS;0.0;0.206031;0.0
2003-01-01;11;OTRAS RENTAS DE LA PROPIEDAD;0.0;0.206031;0.0
2003-01-01;12;RENTAS DE LA PROPIEDAD NETAS;0.0;0.206031;0.0
2003-01-01;13;TRANSFERENCIAS CORRIENTES;38.2;0.206031;14265.38
2003-01-01;14;OTROS INGRESOS;0.0;0.206031;0.0
2003-01-01;15;INGRESOS EXTRAPRESUPUESTARIOS;0.0;0.206031;0.0
2003-01-01;16;SUPERAVIT OPERATIVO EMPRESAS PUB.;0.0;0.206031;0.0
2003-01-01;17;Gastos Corrientes;5382.9;0.206031;2010186.48
2003-01-01;19;Remuneraciones;651.0;0.206031;243108.99
2003-01-01;20;Bienes y Servicios;222.9;0.206031;83239.62
2003-01-01;21;Otros Gastos;0.1;0.206031;37.34
2003-01-01;22;INTERESES Y OTRAS RENTAS DE LA PROP.;474.1;0.206031;177047.58
2003-01-01;23;Intereses en Moneda Local;126.6;0.206031;47277.42
2003-01-01;24;Intereses Deuda Interna;0.0;0.206031;0.0
2003-01-01;25;Intereses en Moneda Extranjera;347.4;0.206031;129732.82
2003-01-01;26;Intereses Deuda Externa;0.0;0.206031;0.0
2003-01-01;27;Intereses pagados intra sector público;0.0;0.206031;0.0
2003-01-01;28;Intereses Netos;0.0;0.206031;0.0
2003-01-01;29;Otras Rentas;0.1;0.206031;37.34
2003-01-01;30;Pagadas sobre Deuda;0.0;0.206031;0.0
2003-01-01;31;PRESTACIONES DE LA SEGURIDAD SOCIAL;1615.3;0.206031;603216.52
2003-01-01;32;OTROS GASTOS CORRIENTES;0.6;0.206031;224.06
2003-01-01;34;Al sector privado;893.0;0.206031;333481.31
2003-01-01;35;Instituciones de Enseñanza;0.0;0.206031;0.0
2003-01-01;36;Otras;0.0;0.206031;0.0
2003-01-01;38;Total Provincias y CABA;1395.6;0.206031;521171.9
2003-01-01;39;Recursos Coparticipados;1199.6;0.206031;447977.8
2003-01-01;40;Garantía Acuerdo Provincias;0.0;0.206031;0.0
2003-01-01;41;Leyes Especiales;65.5;0.206031;24460.27
2003-01-01;42;Resto;130.5;0.206031;48733.83
2003-01-01;43;Universidades;115.2;0.206031;43020.21
2003-01-01;44;Otras;1.2;0.206031;448.13
2003-01-01;45;Al sector externo;11.3;0.206031;4219.86
2003-01-01;46;OTROS GASTOS;0.0;0.206031;0.0
2003-01-01;47;GASTOS EXTRAPRESUPUESTARIOS;0.0;0.206031;0.0
2003-01-01;48;DEFICIT OPERATIVO EMPRESAS PUB.;2.6;0.206031;970.94
2003-01-01;49;Resultado económico;618.6;0.206031;231009.56
2003-01-01;50;RECURSOS DE CAPITAL;3.6;0.206031;1344.38
2003-01-01;51;Privatizaciones;0.2;0.206031;74.69
2003-01-01;52;Otros;3.4;0.206031;1269.69
2003-01-01;53;GASTOS  DE CAPITAL;241.9;0.206031;90334.97
2003-01-01;54;INVERSION REAL DIRECTA;33.1;0.206031;12360.84
2003-01-01;56;Total Provincias y CABA;185.1;0.206031;69123.62
2003-01-01;57;Leyes Especiales;117.1;0.206031;43729.74
2003-01-01;58;Resto;68.0;0.206031;25393.87
2003-01-01;59;Otras;17.7;0.206031;6609.88
2003-01-01;61;A Provincias y CABA;0.0;0.206031;0.0
2003-01-01;62;Resto;6.0;0.206031;2240.64
2003-01-01;63;INGRESOS ANTES DE FIGURATIVOS;6005.1;0.206031;2242540.42
2003-01-01;64;INGRESOS PRIMARIOS ANTES DE FIGURATIVOS;5994.6;0.206031;2238619.3
2003-01-01;65;GASTOS ANTES DE FIGURATIVOS;5624.8;0.206031;2100521.45
2003-01-01;66;GASTOS PRIMARIOS ANTES DE FIGURATIVOS;5150.8;0.206031;1923511.21
2003-01-01;67;RESULTADO FINANCIERO ANTES DE FIGURATIVOS;380.3;0.206031;142018.97
2003-01-01;68;RESULTADO PRIMARIO SIN RENTAS;843.8;0.206031;315108.09
2003-01-01;70;Del Tesoro Nacional;476.7;0.206031;178018.52
2003-01-01;71;De Recursos Afectados;6.8;0.206031;2539.39
2003-01-01;72;De Organismos Descentralizados;74.3;0.206031;27746.54
2003-01-01;73;De Instituciones de Seguridad Social;428.3;0.206031;159944.06
2003-01-01;74;De ExCajas Provinciales;0.0;0.206031;0.0
2003-01-01;75;De Empresas Públicas y Otros;34.5;0.206031;12883.66
2003-01-01;76;De PAMI, Fdos. Fiduciarios y Otros;0.0;0.206031;0.0
2003-01-01;77;GASTOS FIGURATIVOS;1020.6;0.206031;381132.16
2003-01-01;78;INGRESOS DESPUES DE FIGURATIVOS;7025.7;0.206031;2623672.58
2003-01-01;79;INGRESOS PRIMARIOS DESPUES DE FIGURATIVOS;7015.2;0.206031;2619751.47
2003-01-01;80;GASTOS DESPUES DE FIGURATIVOS;6645.4;0.206031;2481653.61
2003-01-01;81;GASTOS PRIMARIOS DESPUES DE FIGURATIVOS;6171.4;0.206031;2304643.37
2003-01-01;82;SUPERAVIT PRIMARIO;854.3;0.206031;319029.2
2003-01-01;83;SUPERAVIT PRIMARIO -sin Privatizaciones-;854.1;0.206031;318954.52
2003-01-01;84;RESULTADO FINANCIERO;380.3;0.206031;142018.97
2003-01-01;85;RESULTADO FINANCIERO -sin privatizaciones-;380.1;0.206031;141944.28
2003-01-01;87;DISMINUCION DE LA INVERSIÓN FINANCIERA;4694.8;0.206031;1753222.88
2003-01-01;89;Endeudamiento en Moneda Local;4604.5;0.206031;1719501.31
2003-01-01;90;Endeudamiento Interno;0.0;0.206031;0.0
2003-01-01;91;Endeudamiento en Moneda Extranjera;3449.4;0.206031;1288141.56
2003-01-01;92;Endeudamiento Externo;0.0;0.206031;0.0
2003-01-01;93;Incremento Otros Pasivos;0.0;0.206031;0.0
2003-01-01;94;INCREMENTO DEL PATRIMONIO;0.0;0.206031;0.0
2003-01-01;95;CONTRIBUCIONES FIGURATIVAS PARA APLICACIONES FINANCIERAS;8.4;0.206031;3136.89
2003-01-01;97;INVERSIÓN FINANCIERA;972.7;0.206031;363244.42
2003-01-01;99;Amortización en Moneda Local;4602.2;0.206031;1718642.4
2003-01-01;100;Amortización Deuda Interna;0.0;0.206031;0.0
2003-01-01;101;Amortización en Moneda Extranjera;7503.9;0.206031;2802251.26
2003-01-01;102;Amortización Deuda Externa;0.0;0.206031;0.0
2003-01-01;103;Disminución Otros Pasivos;50.2;0.206031;18746.65
2003-01-01;104;Disminución del patrimonio;0.0;0.206031;0.0
2003-01-01;105;GASTOS FIGURAT. PARA APLIC. FINANC.;8.4;0.206031;3136.89
2003-02-01;1;Ingresos Corrientes;5025.3;0.208239;1856746.14
2003-02-01;2;INGRESOS TRIBUTARIOS;3693.8;0.208239;1364783.97
2003-02-01;3;APORTES Y CONTRIB. A LA SEG. SOCIAL;835.1;0.208239;308552.46
2003-02-01;4;INGRESOS NO TRIBUTARIOS;230.5;0.208239;85165.06
2003-02-01;5;VENTAS DE BS. Y SERV. DE LAS ADM. PUB.;16.7;0.208239;6170.31
2003-02-01;6;INGRESOS DE OPERACION;0.0;0.208239;0.0
2003-02-01;7;RENTAS DE LA PROPIEDAD;229.3;0.208239;84721.69
2003-02-01;8;RENTAS PERCIBIDAS DEL BCRA;0.0;0.208239;0.0
2003-02-01;9;RENTAS PÚBLICAS PERCIBIDAS POR EL FGS;0.0;0.208239;0.0
2003-02-01;10;RENTAS PÚBLICAS PERCIBIDAS POR EL FGS Y OTROS;0.0;0.208239;0.0
2003-02-01;11;OTRAS RENTAS DE LA PROPIEDAD;0.0;0.208239;0.0
2003-02-01;12;RENTAS DE LA PROPIEDAD NETAS;0.0;0.208239;0.0
2003-02-01;13;TRANSFERENCIAS CORRIENTES;19.9;0.208239;7352.65
2003-02-01;14;OTROS INGRESOS;0.0;0.208239;0.0
2003-02-01;15;INGRESOS EXTRAPRESUPUESTARIOS;0.0;0.208239;0.0
2003-02-01;16;SUPERAVIT OPERATIVO EMPRESAS PUB.;0.0;0.208239;0.0
2003-02-01;17;Gastos Corrientes;5560.5;0.208239;2054491.65
2003-02-01;19;Remuneraciones;682.7;0.208239;252243.76
2003-02-01;20;Bienes y Servicios;152.6;0.208239;56382.6
2003-02-01;21;Otros Gastos;0.2;0.208239;73.9
2003-02-01;22;INTERESES Y OTRAS RENTAS DE LA PROP.;1191.0;0.208239;440050.28
2003-02-01;23;Intereses en Moneda Local;142.0;0.208239;52466.11
2003-02-01;24;Intereses Deuda Interna;0.0;0.208239;0.0
2003-02-01;25;Intereses en Moneda Extranjera;1049.0;0.208239;387584.16
2003-02-01;26;Intereses Deuda Externa;0.0;0.208239;0.0
2003-02-01;27;Intereses pagados intra sector público;0.0;0.208239;0.0
2003-02-01;28;Intereses Netos;0.0;0.208239;0.0
2003-02-01;29;Otras Rentas;0.0;0.208239;0.0
2003-02-01;30;Pagadas sobre Deuda;0.0;0.208239;0.0
2003-02-01;31;PRESTACIONES DE LA SEGURIDAD SOCIAL;1402.9;0.208239;518343.02
2003-02-01;32;OTROS GASTOS CORRIENTES;4.9;0.208239;1810.45
2003-02-01;34;Al sector privado;845.1;0.208239;312247.26
2003-02-01;35;Instituciones de Enseñanza;0.0;0.208239;0.0
2003-02-01;36;Otras;0.0;0.208239;0.0
2003-02-01;38;Total Provincias y CABA;1148.9;0.208239;424495.18
2003-02-01;39;Recursos Coparticipados;902.3;0.208239;333381.5
2003-02-01;40;Garantía Acuerdo Provincias;0.0;0.208239;0.0
2003-02-01;41;Leyes Especiales;39.4;0.208239;14557.5
2003-02-01;42;Resto;207.2;0.208239;76556.19
2003-02-01;43;Universidades;121.6;0.208239;44928.73
2003-02-01;44;Otras;0.3;0.208239;110.84
2003-02-01;45;Al sector externo;4.2;0.208239;1551.81
2003-02-01;46;OTROS GASTOS;1.2;0.208239;443.38
2003-02-01;47;GASTOS EXTRAPRESUPUESTARIOS;0.0;0.208239;0.0
2003-02-01;48;DEFICIT OPERATIVO EMPRESAS PUB.;4.9;0.208239;1810.45
2003-02-01;49;Resultado económico;-535.2;0.208239;-197745.51
2003-02-01;50;RECURSOS DE CAPITAL;3.0;0.208239;1108.44
2003-02-01;51;Privatizaciones;0.3;0.208239;110.84
2003-02-01;52;Otros;2.7;0.208239;997.6
2003-02-01;53;GASTOS  DE CAPITAL;209.4;0.208239;77369.04
2003-02-01;54;INVERSION REAL DIRECTA;25.0;0.208239;9236.99
2003-02-01;56;Total Provincias y CABA;172.7;0.208239;63809.14
2003-02-01;57;Leyes Especiales;89.0;0.208239;32883.69
2003-02-01;58;Resto;83.7;0.208239;30925.45
2003-02-01;59;Otras;6.7;0.208239;2475.51
2003-02-01;61;A Provincias y CABA;0.0;0.208239;0.0
2003-02-01;62;Resto;5.0;0.208239;1847.4
2003-02-01;63;INGRESOS ANTES DE FIGURATIVOS;5028.3;0.208239;1857854.58
2003-02-01;64;INGRESOS PRIMARIOS ANTES DE FIGURATIVOS;4799.0;0.208239;1773132.89
2003-02-01;65;GASTOS ANTES DE FIGURATIVOS;5769.9;0.208239;2131860.69
2003-02-01;66;GASTOS PRIMARIOS ANTES DE FIGURATIVOS;4578.9;0.208239;1691810.42
2003-02-01;67;RESULTADO FINANCIERO ANTES DE FIGURATIVOS;-741.6;0.208239;-274006.12
2003-02-01;68;RESULTADO PRIMARIO SIN RENTAS;220.1;0.208239;81322.47
2003-02-01;70;Del Tesoro Nacional;760.9;0.208239;281137.07
2003-02-01;71;De Recursos Afectados;0.1;0.208239;36.95
2003-02-01;72;De Organismos Descentralizados;15.6;0.208239;5763.88
2003-02-01;73;De Instituciones de Seguridad Social;418.5;0.208239;154627.24
2003-02-01;74;De ExCajas Provinciales;0.0;0.208239;0.0
2003-02-01;75;De Empresas Públicas y Otros;0.7;0.208239;258.64
2003-02-01;76;De PAMI, Fdos. Fiduciarios y Otros;0.0;0.208239;0.0
2003-02-01;77;GASTOS FIGURATIVOS;1195.8;0.208239;441823.78
2003-02-01;78;INGRESOS DESPUES DE FIGURATIVOS;6224.1;0.208239;2299678.35
2003-02-01;79;INGRESOS PRIMARIOS DESPUES DE FIGURATIVOS;5994.8;0.208239;2214956.67
2003-02-01;80;GASTOS DESPUES DE FIGURATIVOS;6965.7;0.208239;2573684.47
2003-02-01;81;GASTOS PRIMARIOS DESPUES DE FIGURATIVOS;5774.7;0.208239;2133634.19
2003-02-01;82;SUPERAVIT PRIMARIO;449.4;0.208239;166044.16
2003-02-01;83;SUPERAVIT PRIMARIO -sin Privatizaciones-;449.1;0.208239;165933.32
2003-02-01;84;RESULTADO FINANCIERO;-741.6;0.208239;-274006.12
2003-02-01;85;RESULTADO FINANCIERO -sin privatizaciones-;-741.9;0.208239;-274116.96
2003-02-01;87;DISMINUCION DE LA INVERSIÓN FINANCIERA;195.9;0.208239;72381.07
2003-02-01;89;Endeudamiento en Moneda Local;228.0;0.208239;84241.36
2003-02-01;90;Endeudamiento Interno;0.0;0.208239;0.0
2003-02-01;91;Endeudamiento en Moneda Extranjera;2990.5;0.208239;1104928.92
2003-02-01;92;Endeudamiento Externo;0.0;0.208239;0.0
2003-02-01;93;Incremento Otros Pasivos;385.4;0.208239;142397.46
2003-02-01;94;INCREMENTO DEL PATRIMONIO;0.0;0.208239;0.0
2003-02-01;95;CONTRIBUCIONES FIGURATIVAS PARA APLICACIONES FINANCIERAS;10.1;0.208239;3731.74
2003-02-01;97;INVERSIÓN FINANCIERA;1681.4;0.208239;621243.1
2003-02-01;99;Amortización en Moneda Local;1080.1;0.208239;399074.98
2003-02-01;100;Amortización Deuda Interna;0.0;0.208239;0.0
2003-02-01;101;Amortización en Moneda Extranjera;284.4;0.208239;105080.02
2003-02-01;102;Amortización Deuda Externa;0.0;0.208239;0.0
2003-02-01;103;Disminución Otros Pasivos;12.3;0.208239;4544.6
2003-02-01;104;Disminución del patrimonio;0.0;0.208239;0.0
2003-02-01;105;GASTOS FIGURAT. PARA APLIC. FINANC.;10.1;0.208239;3731.74
2003-03-01;1;Ingresos Corrientes;5266.8;0.209731;1932132.05
2003-03-01;2;INGRESOS TRIBUTARIOS;3889.3;0.209731;1426794.48
2003-03-01;3;APORTES Y CONTRIB. A LA SEG. SOCIAL;914.9;0.209731;335632.19
2003-03-01;4;INGRESOS NO TRIBUTARIOS;306.6;0.209731;112476.59
2003-03-01;5;VENTAS DE BS. Y SERV. DE LAS ADM. PUB.;18.3;0.209731;6713.38
2003-03-01;6;INGRESOS DE OPERACION;0.0;0.209731;0.0
2003-03-01;7;RENTAS DE LA PROPIEDAD;113.1;0.209731;41490.87
2003-03-01;8;RENTAS PERCIBIDAS DEL BCRA;0.0;0.209731;0.0
2003-03-01;9;RENTAS PÚBLICAS PERCIBIDAS POR EL FGS;0.0;0.209731;0.0
2003-03-01;10;RENTAS PÚBLICAS PERCIBIDAS POR EL FGS Y OTROS;0.0;0.209731;0.0
2003-03-01;11;OTRAS RENTAS DE LA PROPIEDAD;0.0;0.209731;0.0
2003-03-01;12;RENTAS DE LA PROPIEDAD NETAS;0.0;0.209731;0.0
2003-03-01;13;TRANSFERENCIAS CORRIENTES;24.6;0.209731;9024.54
2003-03-01;14;OTROS INGRESOS;0.0;0.209731;0.0
2003-03-01;15;INGRESOS EXTRAPRESUPUESTARIOS;0.0;0.209731;0.0
2003-03-01;16;SUPERAVIT OPERATIVO EMPRESAS PUB.;0.0;0.209731;0.0
2003-03-01;17;Gastos Corrientes;4883.1;0.209731;1791371.23
2003-03-01;19;Remuneraciones;687.6;0.209731;252246.9
2003-03-01;20;Bienes y Servicios;231.2;0.209731;84816.0
2003-03-01;21;Otros Gastos;0.2;0.209731;73.37
2003-03-01;22;INTERESES Y OTRAS RENTAS DE LA PROP.;321.4;0.209731;117905.98
2003-03-01;23;Intereses en Moneda Local;112.0;0.209731;41087.34
2003-03-01;24;Intereses Deuda Interna;0.0;0.209731;0.0
2003-03-01;25;Intereses en Moneda Extranjera;209.4;0.209731;76818.65
2003-03-01;26;Intereses Deuda Externa;0.0;0.209731;0.0
2003-03-01;27;Intereses pagados intra sector público;0.0;0.209731;0.0
2003-03-01;28;Intereses Netos;0.0;0.209731;0.0
2003-03-01;29;Otras Rentas;0.0;0.209731;0.0
2003-03-01;30;Pagadas sobre Deuda;0.0;0.209731;0.0
2003-03-01;31;PRESTACIONES DE LA SEGURIDAD SOCIAL;1404.7;0.209731;515315.92
2003-03-01;32;OTROS GASTOS CORRIENTES;0.1;0.209731;36.69
2003-03-01;34;Al sector privado;903.6;0.209731;331486.77
2003-03-01;35;Instituciones de Enseñanza;0.0;0.209731;0.0
2003-03-01;36;Otras;0.0;0.209731;0.0
2003-03-01;38;Total Provincias y CABA;1169.8;0.209731;429142.57
2003-03-01;39;Recursos Coparticipados;949.3;0.209731;348251.87
2003-03-01;40;Garantía Acuerdo Provincias;0.0;0.209731;0.0
2003-03-01;41;Leyes Especiales;44.8;0.209731;16434.94
2003-03-01;42;Resto;175.7;0.209731;64455.76
2003-03-01;43;Universidades;140.5;0.209731;51542.6
2003-03-01;44;Otras;0.7;0.209731;256.8
2003-03-01;45;Al sector externo;14.9;0.209731;5466.08
2003-03-01;46;OTROS GASTOS;1.0;0.209731;366.85
2003-03-01;47;GASTOS EXTRAPRESUPUESTARIOS;0.0;0.209731;0.0
2003-03-01;48;DEFICIT OPERATIVO EMPRESAS PUB.;7.4;0.209731;2714.7
2003-03-01;49;Resultado económico;383.7;0.209731;140760.82
2003-03-01;50;RECURSOS DE CAPITAL;10.9;0.209731;3998.68
2003-03-01;51;Privatizaciones;0.3;0.209731;110.06
2003-03-01;52;Otros;10.6;0.209731;3888.62
